"Country.Name","region","Dyear","values"
"Azerbaijan","AZE","D1999",0.099228942
"Azerbaijan","AZE","D2000",0.147757576
"Azerbaijan","AZE","D2001",0.305564638
"Azerbaijan","AZE","D2002",4.999713678
"Azerbaijan","AZE","D2003",NA
"Azerbaijan","AZE","D2004",NA
"Azerbaijan","AZE","D2005",8.030375356
"Azerbaijan","AZE","D2006",11.99217733
"Azerbaijan","AZE","D2007",14.54
"Azerbaijan","AZE","D2008",17.08
"Azerbaijan","AZE","D2009",27.4
"Azerbaijan","AZE","D2010",46
"Azerbaijan","AZE","D2011",50
"Azerbaijan","AZE","D2012",54.2
"Azerbaijan","AZE","D2013",73.00000137
"Azerbaijan","AZE","D2014",75.00001564
"Azerbaijan","AZE","D2015",77
"Azerbaijan","AZE","D2016",78.2
"Azerbaijan","AZE","D2017",79
"Azerbaijan","AZE","D2018",79.79999549
"Azerbaijan","AZE","D2019",81.09999907
"Azerbaijan","AZE","D2020",84.59999573
"Azerbaijan","AZE","D2021",86
"Azerbaijan","AZE","D2022",NA
"Burundi","BDI","D1990",0
"Burundi","BDI","D1991",0
"Burundi","BDI","D1992",0
"Burundi","BDI","D1993",0
"Burundi","BDI","D1994",0
"Burundi","BDI","D1995",0
"Burundi","BDI","D1996",0.000803592
"Burundi","BDI","D1997",0.007979439
"Burundi","BDI","D1998",0.015842776
"Burundi","BDI","D1999",0.039204469
"Burundi","BDI","D2000",0.077248447
"Burundi","BDI","D2001",0.106001245
"Burundi","BDI","D2002",0.118228412
"Burundi","BDI","D2003",0.201273197
"Burundi","BDI","D2004",0.349060462
"Burundi","BDI","D2005",0.542142866
"Burundi","BDI","D2006",0.65759259
"Burundi","BDI","D2007",0.7
"Burundi","BDI","D2008",0.81
"Burundi","BDI","D2009",0.9
"Burundi","BDI","D2010",1
"Burundi","BDI","D2011",1.11
"Burundi","BDI","D2012",1.219999945
"Burundi","BDI","D2013",1.264218111
"Burundi","BDI","D2014",1.4
"Burundi","BDI","D2015",2
"Burundi","BDI","D2016",2.2
"Burundi","BDI","D2017",2.660748535
"Burundi","BDI","D2018",2.7
"Burundi","BDI","D2019",2.731443388
"Burundi","BDI","D2020",3.787954422
"Burundi","BDI","D2021",5.804921577
"Burundi","BDI","D2022",NA
"Belgium","BEL","D1990",0.00100674
"Belgium","BEL","D1991",0.020072645
"Belgium","BEL","D1992",0.100041027
"Belgium","BEL","D1993",0.199446059
"Belgium","BEL","D1994",0.69599469
"Belgium","BEL","D1995",0.99166299
"Belgium","BEL","D1996",2.968411647
"Belgium","BEL","D1997",4.93808091
"Belgium","BEL","D1998",7.886622701
"Belgium","BEL","D1999",13.77221446
"Belgium","BEL","D2000",29.43169169
"Belgium","BEL","D2001",31.28839551
"Belgium","BEL","D2002",46.33
"Belgium","BEL","D2003",49.97
"Belgium","BEL","D2004",53.86
"Belgium","BEL","D2005",55.82
"Belgium","BEL","D2006",61.98187002
"Belgium","BEL","D2007",66.76042024
"Belgium","BEL","D2008",68.85732214
"Belgium","BEL","D2009",74.54414555
"Belgium","BEL","D2010",77.63978551
"Belgium","BEL","D2011",81.609996
"Belgium","BEL","D2012",80.71999055
"Belgium","BEL","D2013",82.1702
"Belgium","BEL","D2014",85
"Belgium","BEL","D2015",85.05294175
"Belgium","BEL","D2016",86.51647666
"Belgium","BEL","D2017",87.67968082
"Belgium","BEL","D2018",88.647343
"Belgium","BEL","D2019",90.27542801
"Belgium","BEL","D2020",91.52641629
"Belgium","BEL","D2021",92.78867618
"Belgium","BEL","D2022",94.00783071
"Benin","BEN","D1990",0
"Benin","BEN","D1991",0
"Benin","BEN","D1992",0
"Benin","BEN","D1993",0
"Benin","BEN","D1994",0
"Benin","BEN","D1995",0
"Benin","BEN","D1996",0.0016931
"Benin","BEN","D1997",0.024648796
